name,coverage
A,0.036265754516213666
Ampersand,0.047829866556733554
At,0.050784232365145225
B,0.044405441873205574
C,0.02951380333330048
Carat,0.014246830865278465
CloseBrace,0.02319933801837239
CloseBracket,0.025058163240831793
CloseParanthesis,0.020866812174705585
D,0.04058845718596756
Dollar,0.039439730806548175
E,0.034216568022410854
Exclamation,0.01586348305064182
F,0.02832748164698372
G,0.03849331067159148
H,0.03698766452000526
I,0.019243045495838346
J,0.020868587588956627
K,0.03571897305428517
L,0.022972072323866447
LeftArrow,0.014670333853591686
LowerA,0.031372446031829405
LowerB,0.03641505832236545
LowerC,0.021292574343015215
LowerD,0.03703870747890232
LowerE,0.03140182238995809
LowerF,0.025562068268556278
LowerG,0.04213021428428248
LowerH,0.031364412985111056
LowerI,0.016328800679898014
LowerJ,0.025227465880117983
LowerK,0.031797781353205185
LowerL,0.019572064190371444
LowerM,0.0355995763815344
LowerN,0.026691278171019444
LowerO,0.029171229642430147
LowerP,0.03631961259079903
LowerQ,0.036928458315793694
LowerR,0.017050803723979217
LowerS,0.024188105117565698
LowerT,0.022996902577289462
LowerU,0.02724554552111301
LowerV,0.022457971510458998
LowerW,0.03485943400624738
LowerX,0.024347722187221654
LowerY,0.029232311811325986
LowerZ,0.02574352067085225
M,0.04966019500367126
N,0.04409288717557112
O,0.04004653165159884
OpenBrace,0.023307269805482936
OpenBracket,0.025052167030436764
OpenParanthesis,0.02059698270692922
P,0.03446231833697852
Percent,0.04047416391814732
Q,0.04457603986333617
R,0.040581112352377914
RightArrow,0.014465720050249343
S,0.03288381742738589
Sharp,0.033769934509823525
Slash,0.019454458880348274
Space,0.0
Star,0.013827550532299511
T,0.025250735002814904
Tilde,0.01040199474665956
U,0.034040088494734944
V,0.03143079606942569
W,0.05006131671342416
Won,0.050832175617116414
X,0.034867832779078296
Y,0.027216843399416015
Z,0.03440229686818371
